DB-Plant-No.,Type of Plant,Type of Plant.1,Country,Parent Company,Company Code,Company,City,State,Region,Value Chain Step,Plant No.,Last Update,Status of the Plant,Parent Manufacturer,Manufacturer_A,Manufacturer_B,Year Of Start Up,Year Of Modernizing,Nominal Capacity,Process/type Of Plant,Strip Width Min.,Strip Width Max.,Strip Thickness Min.,Strip Thickness Max.,Entry: Number Of Pay-off Reels,Entry: Coil Weight Max.,Entry: Pay-off Speed Max.,Entry: Type Of Strip Accumulator,Entry: Capacity Of Accumulator,Annealing: Strip Cleaning,Annealing: Heat Cycle,Annealing: Type Of Furnace Heating,Annealing: Cooling Cycle,Annealing: Proc. Speed Min.,Annealing: Proc. Speed Max.,Exit: Number Of Tension Reels,Exit: Coil Weight Max.,Exit: Coiling Speed Max.,Exit: Type Of Strip Accumulator,Exit: Capacity Of Accumulator Max.,Processed Strip Grades A),Processed Strip Grades B),Additional Inline Equipment,Additional Information,Latitude,Longitude
Code,Code,Text,Text,Text,Code,Text,Text,Text,Text,Text,Text,Date,Text,Text,Text,Text,Number,Number,1000 T/YEAR,Text,MM,MM,MM,MM,Number,T,M/MIN,Text,M,Text,Text,Text,Text,M/MIN,M/MIN,Number,T,M/MIN,Text,M,Text,Text,Text,Text,,
19582,77,Continuous Annealing Line,Vietnam,"Formosa Ha Tinh Steel (5), Nippon Steel (35), China Steel Corp (56), Chun Yuan Steel (2), HSIN Kuang Steel (2)",6300190,China Steel and Nippon Steel Vietnam JSC,Vung Tau,Ba Ria-Vung Tau,Asia,Cold Strip Processing,1,2017-08-30 16:54:03,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2013,,500,Recrystallisation,900,1524,0.15,,,,,Vertical Looper,,,,,,,400,,,,Vertical Looper,,"DQ, DDQ",HSS,,"Eigentümer/ownership: China Steel, Taiwan (51%), NSSMC (30%)_x000D_
Inbetriebnahme/start-up: 2013, Apr.",10.35,107.066
19583,77,Continuous Annealing Line,China,"ArcelorMittal SA (50), Hunan Valin Steel Co. Ltd. (50)",7300360,Valin ArcelorMittal Automotive Steel Co. Ltd. (VAMA),Loudi,Hunan,Asia,Cold Strip Processing,1,2022-12-01 09:34:34,Operating,Fives Group,Fives Stein (FR),,2014,,1600,CAL/Aluminizing,900,1670,0.3,2.5,,,,,,,,,,,420,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Continuous Galvanizing Line,"Aluminizing line: 200 kt/y_x000D_
Aluminium-silicon coated Usibor baron steel_x000D_
vertical ART type furnace (Fives Stein)",27.7378,111.9974
1971,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Kimitsu,Chiba,Asia,Cold Strip Processing,2,2015-05-27 18:05:20,Operating,NSENGI,NSENGI (JP),,1991,2004,1020,CAPL (NSC),700,1860,0.4,2.3,,,,Looping Tower,,,Accelerated Cooling + Overageing,,Gas-Water Mist Acc (NSC),,,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,,35.3303,139.9027
19802,77,Continuous Annealing Line,China,Yichang Three Georges Quantong,7302870,Yichang Three Georges Quantong,Yichang,Hubei,Asia,Cold Strip Processing,1,2013-08-16 11:26:15,Shut Down,SMS Group,SMS Siemag (DE),,2011,,350,Recrystallisation,1000,1250,0.14,0.4,2,25,720,,,,,Gas + Electrical,,,600,2,25,750,,,Thin Sheet,CQ,Skin Pass Mill + Tension Leveller,"Yichang Three Gorges Quantong Colored and Galvanized Plate Co., Ltd._x000D_
Furnace: vertical Drever",30.7083,111.2803
19803,77,Continuous Annealing Line,China,Yichang Three Georges Quantong,7302870,Yichang Three Georges Quantong,Yichang,Hubei,Asia,Cold Strip Processing,2,2013-08-16 11:25:48,Shut Down,SMS Group,SMS Siemag (DE),,2011,,350,Recrystallisation,1000,1250,0.14,0.4,2,25,720,,,,,Gas + Electrical,,,600,2,25,750,,,Thin Sheet,CQ,Skin Pass Mill + Tension Leveller,"Yichang Three Gorges Quantong Colored and Galvanized Plate Co., Ltd._x000D_
Furnace: vertical Drever",30.7083,111.2803
19827,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,,Angang Cold Rolled Steel Plate (Putian) Co. Ltd,Putian,Fujian,Asia,Cold Strip Processing,1,2022-08-11 16:29:41,Operating,Chinese Design,"Chinese Design, CN",,2012,,400,Recrystallisation,700,1350,0.2,2,,,,,,,,,,,410,,,,,,CQ,"DQ, DDQ",,"Inbetriebnahme/start-up: 1.Q 2012_x000D_
idled: 2015, July",25.4394,119.0103
19848,77,Continuous Annealing Line,South Korea,Hyundai Steel,7100080,Hyundai BNG Steel Co. Ltd.,Changwon,,Asia,Cold Strip Processing,3,2012-09-24 12:03:05,Operating,,,,,,,Bright Annealing,,,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,35.22806,128.68111
20125,77,Continuous Annealing Line,China,China Baowu Steel Group,7300620,Shanghai Meishan I&S Co. Ltd.,Nanjing,Jiangsu,Asia,Cold Strip Processing,1,2022-06-07 10:06:59,Operating,Fives Group,Fives Group (FR),Baosteel Engineering & Equipment (CN),2009,,420,Recrystallisation,700,1080,0.18,0.55,,20,,,,,,,,,600,,20,,,,Thin Sheet,"DQ, DDQ",Skin Pass Mill 4-hi,SKIN PASS MILL 4-HI - two stands WET,31.902969,118.61667
20147,77,Continuous Annealing Line,China,China Baowu Steel Group,7301490,Baosteel Stainless Steel Co. Ltd.,Shanghai,Shanghai,Asia,Cold Strip Processing,1,2017-02-21 10:40:16,Operating,Baosteel Engineering & Technology Group,Baosteel Engineering & Equipment (CN),,2009,,860,Recrystallisation,900,1630,0.3,2.3,,32,,,,,,,,,420,,32,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,Skin Pass Mill 4-hi + Tension Leveller,"Inbetriebnahme/start-up: 2009, December",31.1667,121.4667
20152,77,Continuous Annealing Line,China,China Baowu Steel Group,7301260,Ningbo Baoxin Stainless Steel Co. Ltd.,Ningbo,Zhejiang,Asia,Cold Strip Processing,2,2023-09-06 22:10:44,Operating,Fives Group,Fives Group (FR),Ebner (AT),2012,,60,Bright Annealing,600,1350,0.18,2,1,31,,Vertical Looper,,,,Natural Gas,Gas-Jet Cooling,,60,1,27,,Vertical Looper,,Stainless Steel,,,,29.89770791,121.8753424
20380,77,Continuous Annealing Line,India,Posco,5701460,Posco Maharashtra Steel Pvt. Ltd.,Bhagad,Maharashtra,Asia,Cold Strip Processing,1,2023-09-07 07:06:46,Operating,Posco E&C,Posco E&C (KR),,2014,,1000,Recrystallisation,800,1860,0.4,2.3,2,35,,Vertical Looper,,Electrolytic Cleaning,,,,,420,1,35,,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill + Tension Leveller,"Location: Vile Bhagad Industrial Area_x000D_
Inbetriebnahme/start-up: 2014, June",18.398,73.3414
20400,77,Continuous Annealing Line,India,"Nippon Steel (49), Tata Steel (51)",5701620,Jamshedpur Continuous Annealing& Processing,Jamshedpur,Jharkhand,Asia,Cold Strip Processing,1,2017-02-21 10:16:35,Operating,NSENGI,NSENGI (JP),Larsen & Toubro (In),2014,,600,CAPL (NSC),800,1580,0.2,2,2,35,,,,Alkaline + Electrolytic + Pickling,,,,,450,1,35,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi + Tension Leveller,"Jamshedpur Continuous Annealing & Processing_x000D_
Joint venture: Tata (51%), NSSMC (49%) _x000D_
_x000D_
Inbetriebnahme/start-up: 2014, May",22.8,86.1833
20401,77,Continuous Annealing Line,United States,"Kobe Steel (50), U.S. Steel (50)",8000730,PRO-TEC Coating Co,Leipsic,Ohio,Northern America,Cold Strip Processing,1,2018-04-06 16:07:02,Operating,SMS Group,SMS Siemag (DE),,2013,,450,Recrystallisation,700,1650,0.6,2.3,2,41,200,Vertical Looper,,Rinsing + Brushing + Electrolytic Cleaning,Accelerated Cooling/Overageing/Quenching,ARTF,Rapid Gas Jet Cooling,,140,2,40,200,Vertical Looper,,HSS,Automotive Steel,Skin Pass Mill + Tension Leveller,"Eigentümer/ownership: Kobe Steel Ltd. (50%), U.S. Steel (50%)_x000D_
Inbetriebnahme/start-up: 2013, Febr. 28th_x000D_
UHSS qualities",41.0984,-83.9847
2041,77,Continuous Annealing Line,Brazil,Companhia Siderurgica Nacional (CSN),9100590,Companhia Siderurgica Nacional,Volta Redonda,Rio De Janeiro,Latin America & Caribbean,Cold Strip Processing,14,2009-08-26 18:32:51,Operating,JP Steel Plantech,Kawasaki Heavy Industries (JP),,1988,,240,Normalizing,457,1067,0.15,0.6,,,,,,,,,,,366,,,,,,Thin Sheet,"DQ, DDQ",,,-22.5225,-44.104
20690,77,Continuous Annealing Line,China,Shougang Group,7302100,Shougang Jingtang United I&S Co Ltd,Tangshan,Hebei,Asia,Cold Strip Processing,3,2023-09-06 22:10:46,Operating,SMS Group,SMS Siemag (DE),Siemens (De),2013,,600,Recrystallisation,750,1280,0.15,0.55,2,28,1000,Vertical Looper,,Alkaline + Electrolytic + Pickling,Accelerated Cooling/Overageing/Quenching,ARTF,,,750,2,28,1100,Vertical Looper,,Thin Sheet,,2-stand DRC Mill,"Vertical furnace (Fives Stein, FR)",39.146541,118.432261
20710,77,Continuous Annealing Line,China,"Nippon Steel (50), China Baowu Steel Group (50)",7303100,WISCO-Nippon Steel Tinplate,Wuhan,Hubei,Asia,Cold Strip Processing,1,2016-01-26 20:25:14,Operating,NSENGI,NSENGI (JP),,2013,,400,CAPL (NSC),1000,1250,0.14,0.4,,,,,,,,,,,600,,27,,,,Thin Sheet,,,"JV: NSSMC  (50%), Wuhan I&S (50%)_x000D_
Inbetriebnahme/start-up: 2013, Dec.",30.5725,114.2792
20741,77,Continuous Annealing Line,China,Henan Anyang Steel Group,7301430,Anyang Iron & Steel Co. Ltd.,Anyang,Henan,Asia,Cold Strip Processing,1,2022-04-25 16:39:11,Operating,NSENGI,NSENGI (JP),,2018,,700,CAPL (NSC),1000,1650,0.3,2.3,,35,,,,Alkaline + Electrolytic + Pickling,,ARTF,Rapid Gas Jet Cooling,,450,,35,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,,Inbetriebnahme/satrt-up: 2018,36.120797,114.289712
20842,77,Continuous Annealing Line,India,JSW Steel Ltd,5700160,JSW Steel Ltd,Toranagallu,Karnataka,Asia,Cold Strip Processing,1,2023-09-06 22:10:46,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2014,,950,Recrystallisation,800,1870,0.35,2.3,2,35,580,,,,,,,,430,2,38,630,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,"Inbetriebnahme/start-up: 2014, April",15.1881,76.65749
20939,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7301410,Pangang Xichang Steel & Vanadium,Xichang,Sichuan,Asia,Cold Strip Processing,1,2015-06-12 13:23:45,Operating,SMS Group,SMS Siemag (DE),,2014,,924,Recrystallisation,870,1870,0.35,2,2,,700,Vertical Looper,,,,,,,420,2,,840,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Inbetriebnahme/start-up: 2014, November",27.896,102.263
20940,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7301410,Pangang Xichang Steel & Vanadium,Xichang,Sichuan,Asia,Cold Strip Processing,2,2015-06-12 14:51:34,Operating,SMS Group,SMS Siemag (DE),,2015,,817,Recrystallisation,870,1620,0.3,2.5,2,,700,Vertical Looper,,,,,,,430,2,,840,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Inbetriebnahme/start-up: 2015, April",27.896,102.263
20986,77,Continuous Annealing Line,China,China Baowu Steel Group,7300430,Taiyuan Iron and Steel (Group) Co. Ltd.,Taiyuan,Shanxi,Asia,Cold Strip Processing,11,2012-01-13 15:58:44,Operating,Ebner,Ebner (AT),,2010,,12.5,Bright Annealing,300,650,0.02,0.3,1,,,Vertical Looper,,Alkaline Cleaning + Rinsing,,,,,,1,,,Vertical Looper,,Stainless Steel,,,EBNER vertical muffle-type strand annealer using 100% hydrogen as process atmosphere,37.8733,112.5425
20987,77,Continuous Annealing Line,China,China Baowu Steel Group,7300430,Taiyuan Iron and Steel (Group) Co. Ltd.,Taiyuan,Shanxi,Asia,Cold Strip Processing,12,2012-01-13 00:00:00,Operating,Ebner,Ebner (AT),,2010,,12.5,Bright Annealing,300,650,0.02,0.3,1,,,Vertical Looper,,Alkaline Cleaning + Rinsing,,,,,,1,,,Vertical Looper,,Stainless Steel,,,EBNER vertical muffle-type strand annealer using 100% hydrogen as process atmosphere,37.8733,112.5425
2110,77,Continuous Annealing Line,Sweden,SSAB,1800050,SSAB,Borlänge,,Europe,Cold Strip Processing,1,2013-11-06 15:34:13,Operating,SMS (DE),SMS (DE),Siemens (De),1982,2012,450,NKK - CAL,750,1550,0.4,2,2,24,233,Looping Tower,300,Alkaline + Electrolytic + Pickling,Rapid Quenching + Overageing,Natural Gas,Gas-Jet Cooling,,180,2,24,233,Looping Tower,300,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi,,60.4843,15.434
21125,77,Continuous Annealing Line,South Korea,Hyundai Steel,7100030,Hyundai Steel,Dangjin,Chungcheongnam-Do,Asia,Cold Strip Processing,2,2015-09-21 11:31:53,Operating,SMS Group,SMS Siemag (DE),,2013,,700,CAL/GI/GA,800,1650,0.3,2.3,2,35,700,Vertical Looper,,,Rapid Quenching + Overageing,ARTF,Rapid Gas Jet Cooling,200,350,,35,800,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Continuous Galvanizing Line,"Universal Annealing and Galvanizing line, _x000D_
capacity; 300 kt/y galvanized, 400 kt/y annealed",36.8936,126.6283
2115,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Nagoya,Aichi,Asia,Cold Strip Processing,1,2015-04-15 07:45:43,Operating,NSENGI,NSENGI (JP),,1982,1989,660,CAPL (NSC),700,1600,0.4,1.6,,42,440,,,Electrolytic Cleaning + Pickling + Rinsing,Accelerated Cooling + Overageing,ARTF,Gas-Water Mist Acc (NSC),,310,,25,440,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,,35.1167,136.9333
21202,77,Continuous Annealing Line,China,"Nippon Steel (50), China Baowu Steel Group (50)",7303100,WISCO-Nippon Steel Tinplate,Wuhan,Hubei,Asia,Cold Strip Processing,2,2016-01-26 20:21:21,Operating,NSENGI,NSENGI (JP),,2013,,400,CAPL (NSC),1000,1250,0.14,0.4,,,,,,,,,,,600,,27,,,,Thin Sheet,,,"JV: NSSMC (50%), Wuhan I&S (50%)_x000D_
Inbetriebnahme/start-up: 2013, Dec.",30.5725,114.2792
2121,77,Continuous Annealing Line,Japan,JFE Steel Corp.,7000120,JFE Steel Corp.,Fukuyama,Hiroshima,Asia,Cold Strip Processing,1,2023-11-28 05:27:44,Shut Down,NKK,NKK (JP),,1971,,240,NKK - CAL,457,1067,0.18,0.8,,,,,,,Without Overaging,,,,450,,,,,,Thin Sheet,"DQ, DDQ",,"Stilllegung/shut-down: 2011, March_x000D_
replacement",34.486,133.3624
21330,77,Continuous Annealing Line,India,JSW Steel Ltd,5700160,JSW Steel Ltd,Toranagallu,Karnataka,Asia,Cold Strip Processing,2,2023-09-06 22:10:48,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2015,,200,Flattening Line,,,,,2,,,Horizontal Looper,,Alkaline + Brushing +  Rinsing ,,,,,,1,25,,Horizontal Looper,,Electrical Steel,,Insulation Coating Line,non-grain oriented,15.1881,76.65749
21352,77,Continuous Annealing Line,Austria,Voestalpine AG,1500100,Voestalpine Stahl GmbH,Linz,,Europe,Cold Strip Processing,2,2023-10-12 05:33:45,Operating,Andritz ,Andritz (AT),,2014,,250,Recrystallisation,,1650,0.2,1,2,,,Looper Car,,Alkaline Cleaning + Rinsing,,,,,,2,,,Horizontal Looper,,NGOES - xEV Grade,NGOES - High Grade,Insulation Coating Line,"horizontel furnace (1150 °C)_x000D_
non-grain-oriented electric strip_x000D_
",48.27421397,14.33500352149016
21455,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300050,Bengang Steel Plates Co. Ltd,Benxi,Liaoning,Asia,Cold Strip Processing,31,2017-02-21 09:36:40,Operating,SMS Group,SMS Group (DE),,2015,,1000,Recrystallisation,1000,2150,0.5,2.5,,40,700,Vertical Looper,,,,ARTF,Ultra-fast Cooling,,420,,40,820,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Vertical ART furnace_x000D_
Inbetriebnahme/start-up: 2015, Dec.",41.292,123.761
21456,77,Continuous Annealing Line,China,Anshan Iron and Steel Group,7300050,Bengang Steel Plates Co. Ltd,Benxi,Liaoning,Asia,Cold Strip Processing,32,2017-02-21 09:37:06,Operating,SMS Group,SMS Group (DE),,2015,,930,Recrystallisation,800,1630,0.3,2.3,,36,700,Vertical Looper,,,,ARTF,Ultra-fast Cooling,,420,,36,820,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi + Tension Leveller,"Vertical ART furnace_x000D_
Inbetriebnahme/start-up: 2015, Dec.",41.292,123.761
21473,77,Continuous Annealing Line,China,HBIS Group,7303340,Tangshan I&S Group High Strength Automotive Strip,Tangshan,Hebei,Asia,Cold Strip Processing,1,2022-07-28 20:01:48,Operating,Primetals Technologies,Primetals Technologies Austria (AT),Siemens (De),2015,,767,Recrystallisation,700,1600,0.2,2.5,,36,,,,,,ARTF,,,420,,36,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 4-hi + Tension Leveller,,39.6292,118.1742
21511,77,Continuous Annealing Line,Taiwan,China Steel Corp,7400020,China Steel Corp,Kaohsiung,,Asia,Cold Strip Processing,23,2024-02-26 14:12:10,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2014,,150,Flattening Line,600,1300,0.2,1.5,,,,,,,,,,,,,,,,,NGOES - xEV Grade,,Insulation Coating Line,"Inbetriebnahme/start-up: 2014, Jan.",22.6167,120.3
21535,77,Continuous Annealing Line,China,China Baowu Steel Group,7300760,Baosteel Zhanjiang Iron & Steel Co. Ltd.,Zhanjiang,Guangdong,Asia,Cold Strip Processing,1,2017-10-06 17:38:11,Operating,Fives Group,Fives Group (FR),Baosight (Cn),2016,,950,Recrystallisation,1000,2030,0.25,2.3,,,,,,,,,,,420,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,"Inbetriebnahme/start-up: 2016, September",21.27,110.35
21566,77,Continuous Annealing Line,China,China Baowu Steel Group,7300430,Taiyuan Iron and Steel (Group) Co. Ltd.,Taiyuan,Shanxi,Asia,Cold Strip Processing,13,2013-08-22 00:00:00,Operating,Fives Group,Fives Group (FR),Chugai Ro (JP),2012,,150,Bright Annealing,1000,1650,0.2,1.5,1,32,,Vertical Looper,,,,,,,90,1,,,Vertical Looper,,Stainless Steel,,,,37.8733,112.5425
2158,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Yawata-tobata,Fukuoka,Asia,Cold Strip Processing,32,1991-09-05 00:00:00,Operating,NSENGI,NSENGI (JP),,1982,1991,408,CAPL (NSC),500,1067,0.1,0.35,2,27.3,800,Looping Tower,,Electrolytic Cleaning + Pickling + Rinsing,,,,,760,2,27.3,995,Looping Tower,,,,Skin Pass Mill,,33.911803,130.838014
21624,77,Continuous Annealing Line,China,China Baowu Steel Group,7300760,Baosteel Zhanjiang Iron & Steel Co. Ltd.,Zhanjiang,Guangdong,Asia,Cold Strip Processing,2,2017-10-06 17:41:20,Operating,Fives Group,Fives Group (FR),,2017,,700,Recrystallisation,900,1550,0.2,2.3,,,,Vertical Looper,,,,,,,420,,,,Vertical Looper,,HSS,Automotive Steel,,"AdvantTek WRT 2,0 combustion sytem (Fives)",21.27,110.35
2163,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Kimitsu,Chiba,Asia,Cold Strip Processing,1,2005-03-24 16:32:08,Operating,NSENGI,NSENGI (JP),,1972,,600,CAPL (NSC),700,1280,0.4,2,,,,,,,,,,,250,,,,,,,,Skin Pass Mill 4-hi,,35.3303,139.9027
21644,77,Continuous Annealing Line,Vietnam,"Formosa Ha Tinh Steel (5), Nippon Steel (35), China Steel Corp (56), Chun Yuan Steel (2), HSIN Kuang Steel (2)",6300190,China Steel and Nippon Steel Vietnam JSC,Vung Tau,Ba Ria-Vung Tau,Asia,Cold Strip Processing,2,2023-10-18 06:59:57,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2013,,200,Flattening Line,,,,,,,,,,,,,,,,,,,,,NGOES - High Grade,,Insulation Coating Line,"Eigentümer/ownership: China Steel, Taiwan (51%), NSSMC (30%)_x000D_
Inbetriebnahme/start-up: 2013, Apr.",10.35,107.066
21715,77,Continuous Annealing Line,Austria,Voestalpine AG,1500220,Voestalpine Precision Strip,Kematen,,Europe,Cold Strip Processing,2,2023-09-06 22:10:49,Operating,Ebner,Ebner (AT),,2012,,,Hardening and Tempering,10,131,0.4,1.3,,,,Vertical Looper,,,,,Gas-Jet Cooling,,,,,,,,Stainless Steel,HSS,,"four vertical muffel type furnaces, inner gas 100% H2",47.2549,11.2738
2177,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Yawata-tobata,Fukuoka,Asia,Cold Strip Processing,11,1991-09-05 00:00:00,Operating,NSENGI,NSENGI (JP),,1979,1989,490,CAPL (NSC),610,1300,0.4,1.6,,,,,,,,,,,250,,,,,,,,,,33.911803,130.838014
21770,77,Continuous Annealing Line,China,Guangxi Liuzhou I&S Group Co. Ltd. ,,Guangxi I&S Group Co. Ltd.,Fangchenggang,Guangxi,Asia,Cold Strip Processing,1,2023-08-02 14:39:34,Operating,Fives Group,Fives Group (FR),Ge Power Conversion (Us),2017,,930,Recrystallisation,1000,1880,0.4,2.5,,,,,,,,,,,420,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,,"Inbetriebnahme/start-up: 2016, March",21.6,108.3
21779,77,Continuous Annealing Line,South Korea,Daiyang Metal Co. Ltd,7100260,Daiyang Metal Co. Ltd,Ansan,,Asia,Cold Strip Processing,1,2014-05-21 00:00:00,Operating,,,,,,66,Bright Annealing,,1145,0.1,1.5,,,,,,,,,,,,,,,,,Stainless Steel,,,,37.3219,126.8309
21780,77,Continuous Annealing Line,South Korea,Daiyang Metal Co. Ltd,7100260,Daiyang Metal Co. Ltd,Ansan,,Asia,Cold Strip Processing,2,2014-05-21 00:00:00,Operating,,,,,,18,Bright Annealing,,800,0.2,1.5,,,,,,,,,,,,,,,,,Stainless Steel,,,,37.3219,126.8309
21781,77,Continuous Annealing Line,South Korea,Daiyang Metal Co. Ltd,7100260,Daiyang Metal Co. Ltd,Ansan,,Asia,Cold Strip Processing,3,2014-05-21 00:00:00,Operating,,,,,,18,Bright Annealing,,730,0.1,1.2,,,,,,,,,,,,,,,,,Stainless Steel,,,,37.3219,126.8309
21811,77,Continuous Annealing Line,China,Panhua Group Co. Ltd,7303110,Panhua Group Co. Ltd,Zhangjiagang,Jiangsu,Asia,Cold Strip Processing,1,2015-06-09 11:12:03,Operating,Chinese Design,"Chinese Design, CN",,2003,,300,Recrystallisation,800,1250,0.4,2,,10,,Vertical Looper,,,,,,,,,10,,Vertical Looper,,"DQ, DDQ",,,,31.865,120.538
21832,77,Continuous Annealing Line,China,Baotou,7300040,Baotou I&S,Baotou,Inner Mongolia,Asia,Cold Strip Processing,21,2017-02-21 10:35:17,Operating,SMS Group,SMS Group (DE),,2016,,630,Recrystallisation,900,1530,0.25,2.5,1,32,,,,,,,Ultra-fast Cooling,,400,1,32,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi,"Inbetriebnahme/start-up: 2016. August 8_x000D_
Vertical furnace (Fives Stein, FR)",40.6562,109.8345
21833,77,Continuous Annealing Line,China,Baotou,7300040,Baotou I&S,Baotou,Inner Mongolia,Asia,Cold Strip Processing,22,2017-02-21 10:36:23,Operating,SMS Group,SMS Group (DE),,2015,,925,Recrystallisation,950,1850,0.25,2.5,,,,,,,,,Ultra-fast Cooling,,400,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi,"Inbetrienahme/start-up: 2016, December _x000D_
Vertical furnace (Fives Stein, FR)",40.6562,109.8345
2189,77,Continuous Annealing Line,Japan,Kobe Steel,7000140,Kobe Steel,Kakogawa,Hyogo,Asia,Cold Strip Processing,1,2017-01-31 14:15:22,Operating,,,,1982,2006,540,NKK - CAL,600,1620,0.3,1.6,,,,,,,,,Gas + Roll Quenching (NKK),,250,,,,,,"DQ, DDQ",,,,34.757,134.8413
21915,77,Continuous Annealing Line,China,Kobelco Angang Auto Steel,7303310,Kobelco Angang Auto Steel,Anshan,Liaoning,Asia,Cold Strip Processing,1,2017-08-28 17:57:37,Operating,SMS Group,SMS Group (DE),,2016,,600,Recrystallisation,750,1650,0.5,2.5,2,,280,Vertical Looper,,Electrolytic Cleaning,Accelerated Cooling/Overageing/Quenching,ARTF,Ultra-fast + Water Spray Cooling,,180,1,,280,Vertical Looper,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Skin Pass Mill 6-hi,"Eigentümer/ownership: Anshan I&S (51%), Kobe Steel (49%)_x000D_
Drever vertical rediant-tube annealing furnace_x000D_
Steel strip 590 MPa up to 1600 MPa",41.1066,122.9895
21920,77,Continuous Annealing Line,Indonesia,"PT Krakatau Steel (20), Nippon Steel (80)",5801000,PT Krakatau Nippon Steel Synergy,Cilegon,Banten,Asia,Cold Strip Processing,1,2023-04-28 04:35:07,Operating,NSENGI,NSENGI (JP),,2017,,480,CAL/GI/GA,,,,,,,,,,,,,,,,,,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",Automotive Steel,Continuous Galvanizing Line,"Eigentümer/ownership: NSSMC (80%), PTKS (20%)_x000D_
Inbetriebnahme/start-up: 2017, July_x000D_
1200 MPa",-6.007021,106.001766
2199,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Hirohata,Hyogo,Asia,Cold Strip Processing,1,2010-04-08 14:28:35,Operating,NSENGI,NSENGI (JP),,1982,,1080,CAPL (NSC),825,1650,0.4,2,,,,Not Existing,,,Accelerated Cooling + Overageing,ARTF,Gas-Water Mist Acc (NSC),,450,,25,,Looper Car,,CQ,"DQ, DDQ",Pickling Line + Tandem Mill,,34.7882,135.4016
22001,77,Continuous Annealing Line,Turkey,"Posco (70), Kibar Holding (30)",2000510,Posco Assan TST,Izmit,Kocaeli,Middle East & Northern Africa,Cold Strip Processing,1,2017-01-25 11:46:41,Operating,Ebner,Ebner (AT),,2014,,100,Bright Annealing,,1600,0.2,2,,,,Vertical Looper,,,,,,,,,,,Vertical Looper,,Stainless Steel,,,,40.82,29.92
